longitude,latitude,M13_log
-117.11108,34.592216,0.8071592
-117.12115,34.590992,0.7999163
-117.19938,34.5814,0.8035443
-117.63307,34.527294,0.8356173
-116.98266,34.615173,0.8035443
-117.1025,34.60058,0.8071592
-117.11237,34.599373,0.8179261
-117.615395,34.536694,0.84954834
-117.62486,34.535503,0.8356173
-117.634315,34.5343,0.85644174
-117.64377,34.533096,0.8391183
-116.983986,34.62236,0.85300094
-117.103905,34.607716,0.81434995
-117.113716,34.606518,0.82857835
-117.123604,34.605305,0.7926205
-117.597664,34.54612,0.8179261
-117.607155,34.544918,0.842607
-117.61664,34.543716,0.8666935
-117.62611,34.54251,0.842607
-117.63556,34.541313,0.8632879
-117.64501,34.540104,0.8460837
-116.985306,34.629547,0.82857835
-117.59891,34.55314,0.842607
-117.6084,34.551937,0.85300094
-117.61788,34.550724,0.8700876
-117.62734,34.54951,0.82857835
-117.63681,34.548313,0.8666935
-117.64626,34.547108,0.8768413
-117.65571,34.54591,0.83210397
-116.98663,34.636738,0.8356173
-116.996605,34.635517,0.8071592
-117.09706,34.62318,0.8071592
-117.21434,34.608685,0.7999163
-117.504814,34.57227,0.796275
-117.60015,34.560158,0.8734701
-117.60966,34.55895,0.8598707
-117.61913,34.557743,0.8734701
-117.6286,34.556526,0.8598707
-117.638054,34.55533,0.85300094
-117.64752,34.554115,0.85300094
-117.65696,34.552906,0.8391183
-117.66639,34.5517,0.8071592
-116.988,34.643917,0.8107611
-116.997955,34.6427,0.81434995
-117.00793,34.64148,0.8179261
-117.22547,34.614574,0.796275
-117.50604,34.579308,0.8071592
-117.59191,34.568386,0.8632879
-117.6014,34.567177,0.8734701
-117.610916,34.565968,0.85644174
-117.62038,34.564754,0.8734701
-117.62986,34.563538,0.85644174
-117.63931,34.56233,0.85300094
-117.648766,34.561123,0.85644174
-117.65822,34.559906,0.8356173
-116.99931,34.649883,0.8214895
-117.009285,34.648655,0.82504016
-117.029335,34.64618,0.8214895
-117.50731,34.586357,0.8107611
-117.51688,34.58514,0.796275
-117.56462,34.579056,0.85300094
-117.57414,34.577835,0.82857835
-117.593155,34.575413,0.8802012
-117.60266,34.574192,0.8768413
-117.61215,34.572983,0.8700876
-117.621635,34.571766,0.8768413
-117.63112,34.57054,0.8632879
-117.64057,34.56934,0.85300094
-117.650024,34.568127,0.8632879
-117.65948,34.56691,0.8356173
-117.00075,34.65705,0.8107611
-117.01067,34.655827,0.8107611
-117.020645,34.6546,0.8666935
-117.03066,34.653362,0.8666935
-117.04074,34.65211,0.85644174
-117.05092,34.650852,0.7926205
-117.50857,34.5934,0.7999163
-117.51813,34.592182,0.7926205
-117.52771,34.59096,0.796275
-117.556366,34.5873,0.8700876
-117.56587,34.586086,0.8835497
-117.57539,34.58487,0.8356173
-117.584915,34.583645,0.82857835
-117.59442,34.582428,0.8666935
-117.603935,34.581215,0.8632879
-117.61341,34.579994,0.85644174
-117.622894,34.578773,0.8632879
-117.63236,34.57756,0.8632879
-117.64184,34.576344,0.842607
-117.651276,34.57513,0.8460837
-117.66073,34.573917,0.83210397
-117.67016,34.5727,0.8071592
-117.67958,34.571484,0.7926205
-117.0321,34.66052,0.85644174
-117.04208,34.659283,0.8598707
-117.05216,34.658028,0.8460837
-117.50983,34.60045,0.8071592
-117.51939,34.599224,0.796275
-117.52896,34.598,0.84954834
-117.538536,34.596775,0.85300094
-117.54807,34.595554,0.8734701
-117.557594,34.594334,0.90668106
-117.56715,34.593113,0.9099423
-117.57665,34.5919,0.85644174
-117.58616,34.59067,0.85644174
-117.59568,34.589447,0.8632879
-117.60518,34.588226,0.85300094
-117.61467,34.587006,0.8460837
-117.62416,34.585785,0.8460837
-117.63363,34.58457,0.85300094
-117.64312,34.58335,0.82857835
-117.652565,34.58213,0.85644174
-117.66199,34.58092,0.84954834
-117.67144,34.579697,0.8356173
-117.680855,34.578484,0.7926205
-117.05354,34.665188,0.8179261
-117.5015,34.608715,0.8035443
-117.51109,34.607487,0.7999163
-117.530235,34.605038,0.8035443
-117.53978,34.60381,0.8356173
-117.54933,34.602585,0.8214895
-117.55887,34.601364,0.82504016
-117.56839,34.60014,0.85644174
-117.57791,34.59892,0.8214895
-117.58743,34.597694,0.8460837
-117.59694,34.59647,0.8598707
-117.606445,34.595245,0.8179261
-117.61593,34.59403,0.8391183
-117.625404,34.592808,0.82504016
-117.63489,34.59158,0.8107611
-117.65382,34.58914,0.84954834
-117.66326,34.587914,0.85644174
-117.6727,34.586697,0.82504016
-117.37761,34.631744,0.7926205
-117.387276,34.63051,0.796275
-117.40658,34.62805,0.796275
-117.483574,34.61822,0.7999163
-117.49319,34.61699,0.8214895
-117.50279,34.615753,0.8071592
-117.512436,34.614525,0.796275
-117.53157,34.612057,0.81434995
-117.54104,34.610847,0.82504016
-117.550575,34.60962,0.8071592
-117.56012,34.6084,0.83210397
-117.56966,34.60717,0.8107611
-117.57918,34.605938,0.8035443
-117.588684,34.604725,0.8071592
-117.598206,34.603493,0.81434995
-117.607704,34.602264,0.8107611
-117.61718,34.60104,0.81434995
-117.636154,34.598595,0.8107611
-117.655075,34.59614,0.83210397
-117.66453,34.594925,0.85300094
-117.67396,34.5937,0.83210397
-117.692795,34.591263,0.7999163
-117.378876,34.638824,0.8035443
-117.388535,34.63759,0.796275
-117.39821,34.636353,0.8071592
-117.40787,34.635128,0.8179261
-117.41751,34.63389,0.8035443
-117.475235,34.626503,0.7999163
-117.48487,34.625263,0.81434995
-117.4945,34.62403,0.8035443
-117.54235,34.617874,0.7926205
-117.55184,34.61665,0.8107611
-117.599464,34.61051,0.8071592
-117.608955,34.60928,0.8179261
-117.61847,34.60805,0.7999163
-117.65636,34.603146,0.82857835
-117.66579,34.60192,0.82504016
-117.37675,34.63831,0.8071592
-117.38643,34.63711,0.8035443
-117.3961,34.635925,0.8107611
-117.40576,34.634735,0.8179261
-117.415436,34.63354,0.8107611
-117.47326,34.626392,0.796275
-117.48289,34.6252,0.8214895
-117.49253,34.623997,0.8179261
-117.540504,34.618042,0.796275
-117.55,34.61685,0.8179261
-117.60721,34.60972,0.8214895
-117.61671,34.608532,0.81434995
-117.654655,34.60378,0.82504016
-117.664116,34.602585,0.8391183
